Category	Keyword	Count
Job Alerts	more	321
Job Alerts	new	195
Job Alerts	engineer	180
Job Alerts	developer	176
Job Alerts	chrislo	146
Promotions	ideas	92
Promotions	new	91
Promotions	more	85
Promotions	chrislo	72
Promotions	jurni	71
Social	new	692
Social	have	650
Social	notifications	573
Social	chrislo	560
Social	drogasdrogas	103
Spam	email	5
Spam	please	5
Spam	verify	5
Spam	companies	2
Spam	free	2
Transactional/Finance	successful	71
Transactional/Finance	important	54
Transactional/Finance	card	50
Transactional/Finance	payment	50
Transactional/Finance	inr	49
Updates	new	266
Updates	chrislo	141
Updates	how	123
Updates	what	104
Updates	about	94
Useful	login	29
Useful	new	23
Useful	supercell	21
Useful	ons	17
Useful	security	16
